"filename", "language", "CSS", "TypeScript React", "comment", "blank", "total"
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/IncomingCallDialogue/IncomingCallDialogue.js", "TypeScript React", 0, 33, 0, 3, 36
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Loader.js", "TypeScript React", 0, 10, 0, 3, 13
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Message.js", "TypeScript React", 0, 11, 0, 2, 13
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/StartingActivity.js", "TypeScript React", 0, 11, 0, 2, 13
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Videocall/ConversationBtns/ConversationBtn.js", "TypeScript React", 0, 29, 0, 4, 33
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Videocall/ConversationBtns/ConversationBtns.js", "TypeScript React", 0, 75, 0, 8, 83
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Videocall/DirectCall.js", "TypeScript React", 0, 102, 0, 3, 105
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Videocall/LocalVideoView.js", "TypeScript React", 0, 32, 0, 3, 35
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Videocall/NicknameInput.js", "TypeScript React", 0, 28, 0, 4, 32
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Videocall/NicknameLogin.js", "TypeScript React", 0, 89, 0, 8, 97
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Videocall/NicknameSubmitBtn.js", "TypeScript React", 0, 37, 0, 4, 41
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Videocall/RemoteVideoView.js", "TypeScript React", 0, 34, 0, 4, 38
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Videocall/VideoCallDashboard.js", "TypeScript React", 0, 76, 0, 6, 82
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/Videocall/VideoCallDisplay.js", "TypeScript React", 0, 15, 0, 2, 17
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/components/puzzle/PuzzleIndex.js", "TypeScript React", 0, 24, 0, 3, 27
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/constants/bookConstants.js", "TypeScript React", 0, 3, 0, 1, 4
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/constants/callConstants.js", "TypeScript React", 0, 18, 0, 2, 20
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/constants/canvasConstants.js", "TypeScript React", 0, 2, 0, 1, 3
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/constants/chessConstants.js", "TypeScript React", 0, 2, 0, 1, 3
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/constants/dashboardConstants.js", "TypeScript React", 0, 3, 0, 1, 4
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/constants/userConstants.js", "TypeScript React", 0, 20, 0, 6, 26
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/index.css", "CSS", 108, 0, 1, 20, 129
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/index.js", "TypeScript React", 0, 14, 0, 4, 18
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/reducers/bookReducers.js", "TypeScript React", 0, 18, 0, 3, 21
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/reducers/callReducer.js", "TypeScript React", 0, 62, 3, 5, 70
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/reducers/canvasReducer.js", "TypeScript React", 0, 21, 0, 2, 23
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/reducers/chessReducers.js", "TypeScript React", 0, 19, 0, 3, 22
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/reducers/dashboardReducer.js", "TypeScript React", 0, 16, 0, 3, 19
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/reducers/userReducers.js", "TypeScript React", 0, 98, 0, 8, 106
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/screens/About.js", "TypeScript React", 0, 12, 0, 2, 14
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/screens/ActivityListScreen.js", "TypeScript React", 0, 93, 0, 5, 98
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/screens/Hero.js", "TypeScript React", 0, 89, 0, 3, 92
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/screens/HomeScreen.js", "TypeScript React", 0, 37, 0, 6, 43
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/screens/LandingScreen.js", "TypeScript React", 0, 10, 0, 3, 13
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/screens/Legal.js", "TypeScript React", 0, 12, 0, 2, 14
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/screens/LoginScreen.js", "TypeScript React", 0, 96, 1, 8, 105
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/screens/NotFound.js", "TypeScript React", 0, 31, 0, 2, 33
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/screens/ProfileScreen.js", "TypeScript React", 0, 107, 0, 14, 121
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/screens/RegisterScreen.js", "TypeScript React", 0, 121, 0, 15, 136
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/store.js", "TypeScript React", 0, 43, 0, 6, 49
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/utils/webRTC/webRTCHandler.js", "TypeScript React", 0, 240, 13, 36, 289
"/home/elbytes/Documents/projects/PlayGround_dev/client/src/utils/wsConn/wsConn.js", "TypeScript React", 0, 204, 18, 38, 260
"Total", "-", 201, 4752, 300, 707, 5960
